Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Laos,0,0,0,0,0,0
2020-01-23,Laos,0,0,0,0,0,0
2020-01-24,Laos,0,0,0,0,0,0
2020-01-25,Laos,0,0,0,0,0,0
2020-01-26,Laos,0,0,0,0,0,0
2020-01-27,Laos,0,0,0,0,0,0
2020-01-28,Laos,0,0,0,0,0,0
2020-01-29,Laos,0,0,0,0,0,0
2020-01-30,Laos,0,0,0,0,0,0
2020-01-31,Laos,0,0,0,0,0,0
2020-02-01,Laos,0,0,0,0,0,0
2020-02-02,Laos,0,0,0,0,0,0
2020-02-03,Laos,0,0,0,0,0,0
2020-02-04,Laos,0,0,0,0,0,0
2020-02-05,Laos,0,0,0,0,0,0
2020-02-06,Laos,0,0,0,0,0,0
2020-02-07,Laos,0,0,0,0,0,0
2020-02-08,Laos,0,0,0,0,0,0
2020-02-09,Laos,0,0,0,0,0,0
2020-02-10,Laos,0,0,0,0,0,0
2020-02-11,Laos,0,0,0,0,0,0
2020-02-12,Laos,0,0,0,0,0,0
2020-02-13,Laos,0,0,0,0,0,0
2020-02-14,Laos,0,0,0,0,0,0
2020-02-15,Laos,0,0,0,0,0,0
2020-02-16,Laos,0,0,0,0,0,0
2020-02-17,Laos,0,0,0,0,0,0
2020-02-18,Laos,0,0,0,0,0,0
2020-02-19,Laos,0,0,0,0,0,0
2020-02-20,Laos,0,0,0,0,0,0
2020-02-21,Laos,0,0,0,0,0,0
2020-02-22,Laos,0,0,0,0,0,0
2020-02-23,Laos,0,0,0,0,0,0
2020-02-24,Laos,0,0,0,0,0,0
2020-02-25,Laos,0,0,0,0,0,0
2020-02-26,Laos,0,0,0,0,0,0
2020-02-27,Laos,0,0,0,0,0,0
2020-02-28,Laos,0,0,0,0,0,0
2020-02-29,Laos,0,0,0,0,0,0
2020-03-01,Laos,0,0,0,0,0,0
2020-03-02,Laos,0,0,0,0,0,0
2020-03-03,Laos,0,0,0,0,0,0
2020-03-04,Laos,0,0,0,0,0,0
2020-03-05,Laos,0,0,0,0,0,0
2020-03-06,Laos,0,0,0,0,0,0
2020-03-07,Laos,0,0,0,0,0,0
2020-03-08,Laos,0,0,0,0,0,0
2020-03-09,Laos,0,0,0,0,0,0
2020-03-10,Laos,0,0,0,0,0,0
2020-03-11,Laos,0,0,0,0,0,0
2020-03-12,Laos,0,0,0,0,0,0
2020-03-13,Laos,0,0,0,0,0,0
2020-03-14,Laos,0,0,0,0,0,0
2020-03-15,Laos,0,0,0,0,0,0
2020-03-16,Laos,0,0,0,0,0,0
2020-03-17,Laos,0,0,0,0,0,0
2020-03-18,Laos,0,0,0,0,0,0
2020-03-19,Laos,0,0,0,0,0,0
2020-03-20,Laos,0,0,0,0,0,0
2020-03-21,Laos,0,0,0,0,0,0
2020-03-22,Laos,0,0,0,0,0,0
2020-03-23,Laos,0,0,0,0,0,0
2020-03-24,Laos,2,0,2,0,0,0
2020-03-25,Laos,3,0,1,0,0,0
2020-03-26,Laos,6,0,3,0,1,0
2020-03-27,Laos,6,0,0,0,1,0
2020-03-28,Laos,8,0,2,0,1,0
2020-03-29,Laos,8,0,0,0,1,0
2020-03-30,Laos,8,0,0,0,1,0
2020-03-31,Laos,9,0,1,0,1,0
2020-04-01,Laos,10,0,1,0,1,0
2020-04-02,Laos,10,0,0,0,1,0
2020-04-03,Laos,10,0,0,0,1,0
2020-04-04,Laos,10,0,0,0,0,0
2020-04-05,Laos,11,0,1,0,0,0
2020-04-06,Laos,12,0,1,0,1,0
2020-04-07,Laos,14,0,2,0,1,0
2020-04-08,Laos,15,0,1,0,1,0
2020-04-09,Laos,16,0,1,0,1,0
2020-04-10,Laos,16,0,0,0,1,0
2020-04-11,Laos,18,0,2,0,1,0
2020-04-12,Laos,19,0,1,0,1,0
2020-04-13,Laos,19,0,0,0,1,0
2020-04-14,Laos,19,0,0,0,1,0
2020-04-15,Laos,19,0,0,0,1,0
2020-04-16,Laos,19,0,0,0,0,0
2020-04-17,Laos,19,0,0,0,0,0
2020-04-18,Laos,19,0,0,0,0,0
2020-04-19,Laos,19,0,0,0,0,0
2020-04-20,Laos,19,0,0,0,0,0
2020-04-21,Laos,19,0,0,0,0,0
2020-04-22,Laos,19,0,0,0,0,0
2020-04-23,Laos,19,0,0,0,0,0
2020-04-24,Laos,19,0,0,0,0,0
2020-04-25,Laos,19,0,0,0,0,0
2020-04-26,Laos,19,0,0,0,0,0
2020-04-27,Laos,19,0,0,0,0,0
2020-04-28,Laos,19,0,0,0,0,0
2020-04-29,Laos,19,0,0,0,0,0
2020-04-30,Laos,19,0,0,0,0,0
2020-05-01,Laos,19,0,0,0,0,0
2020-05-02,Laos,19,0,0,0,0,0
2020-05-03,Laos,19,0,0,0,0,0
2020-05-04,Laos,19,0,0,0,0,0
2020-05-05,Laos,19,0,0,0,0,0
2020-05-06,Laos,19,0,0,0,0,0
2020-05-07,Laos,19,0,0,0,0,0
2020-05-08,Laos,19,0,0,0,0,0
2020-05-09,Laos,19,0,0,0,0,0
2020-05-10,Laos,19,0,0,0,0,0
2020-05-11,Laos,19,0,0,0,0,0
2020-05-12,Laos,19,0,0,0,0,0
2020-05-13,Laos,19,0,0,0,0,0
2020-05-14,Laos,19,0,0,0,0,0
2020-05-15,Laos,19,0,0,0,0,0
2020-05-16,Laos,19,0,0,0,0,0
2020-05-17,Laos,19,0,0,0,0,0
2020-05-18,Laos,19,0,0,0,0,0
2020-05-19,Laos,19,0,0,0,0,0
2020-05-20,Laos,19,0,0,0,0,0
2020-05-21,Laos,19,0,0,0,0,0
2020-05-22,Laos,19,0,0,0,0,0
2020-05-23,Laos,19,0,0,0,0,0
2020-05-24,Laos,19,0,0,0,0,0
2020-05-25,Laos,19,0,0,0,0,0
2020-05-26,Laos,19,0,0,0,0,0
2020-05-27,Laos,19,0,0,0,0,0
2020-05-28,Laos,19,0,0,0,0,0
2020-05-29,Laos,19,0,0,0,0,0
2020-05-30,Laos,19,0,0,0,0,0
2020-05-31,Laos,19,0,0,0,0,0
2020-06-01,Laos,19,0,0,0,0,0
2020-06-02,Laos,19,0,0,0,0,0
2020-06-03,Laos,19,0,0,0,0,0
2020-06-04,Laos,19,0,0,0,0,0
2020-06-05,Laos,19,0,0,0,0,0
2020-06-06,Laos,19,0,0,0,0,0
2020-06-07,Laos,19,0,0,0,0,0
2020-06-08,Laos,19,0,0,0,0,0
2020-06-09,Laos,19,0,0,0,0,0
2020-06-10,Laos,19,0,0,0,0,0
2020-06-11,Laos,19,0,0,0,0,0
2020-06-12,Laos,19,0,0,0,0,0
2020-06-13,Laos,19,0,0,0,0,0
2020-06-14,Laos,19,0,0,0,0,0
2020-06-15,Laos,19,0,0,0,0,0
2020-06-16,Laos,19,0,0,0,0,0
2020-06-17,Laos,19,0,0,0,0,0
2020-06-18,Laos,19,0,0,0,0,0
2020-06-19,Laos,19,0,0,0,0,0
2020-06-20,Laos,19,0,0,0,0,0
2020-06-21,Laos,19,0,0,0,0,0
2020-06-22,Laos,19,0,0,0,0,0
2020-06-23,Laos,19,0,0,0,0,0
2020-06-24,Laos,19,0,0,0,0,0
2020-06-25,Laos,19,0,0,0,0,0
2020-06-26,Laos,19,0,0,0,0,0
2020-06-27,Laos,19,0,0,0,0,0
2020-06-28,Laos,19,0,0,0,0,0
2020-06-29,Laos,19,0,0,0,0,0
2020-06-30,Laos,19,0,0,0,0,0
2020-07-01,Laos,19,0,0,0,0,0
2020-07-02,Laos,19,0,0,0,0,0
2020-07-03,Laos,19,0,0,0,0,0
2020-07-04,Laos,19,0,0,0,0,0
2020-07-05,Laos,19,0,0,0,0,0
2020-07-06,Laos,19,0,0,0,0,0
2020-07-07,Laos,19,0,0,0,0,0
2020-07-08,Laos,19,0,0,0,0,0
2020-07-09,Laos,19,0,0,0,0,0
2020-07-10,Laos,19,0,0,0,0,0
2020-07-11,Laos,19,0,0,0,0,0
2020-07-12,Laos,19,0,0,0,0,0
2020-07-13,Laos,19,0,0,0,0,0
2020-07-14,Laos,19,0,0,0,0,0
2020-07-15,Laos,19,0,0,0,0,0
2020-07-16,Laos,19,0,0,0,0,0
2020-07-17,Laos,19,0,0,0,0,0
2020-07-18,Laos,19,0,0,0,0,0
2020-07-19,Laos,19,0,0,0,0,0
2020-07-20,Laos,19,0,0,0,0,0
2020-07-21,Laos,19,0,0,0,0,0
2020-07-22,Laos,19,0,0,0,0,0
2020-07-23,Laos,19,0,0,0,0,0
2020-07-24,Laos,20,0,1,0,0,0
2020-07-25,Laos,20,0,0,0,0,0
2020-07-26,Laos,20,0,0,0,0,0
2020-07-27,Laos,20,0,0,0,0,0
2020-07-28,Laos,20,0,0,0,0,0
2020-07-29,Laos,20,0,0,0,0,0
2020-07-30,Laos,20,0,0,0,0,0
2020-07-31,Laos,20,0,0,0,0,0
2020-08-01,Laos,20,0,0,0,0,0
2020-08-02,Laos,20,0,0,0,0,0
2020-08-03,Laos,20,0,0,0,0,0
2020-08-04,Laos,20,0,0,0,0,0
2020-08-05,Laos,20,0,0,0,0,0
2020-08-06,Laos,20,0,0,0,0,0
2020-08-07,Laos,20,0,0,0,0,0
2020-08-08,Laos,20,0,0,0,0,0
2020-08-09,Laos,20,0,0,0,0,0
2020-08-10,Laos,20,0,0,0,0,0
2020-08-11,Laos,20,0,0,0,0,0
2020-08-12,Laos,20,0,0,0,0,0
2020-08-13,Laos,20,0,0,0,0,0
