Date,Country,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2020-01-22,Vietnam,0,0,0,0,0,0
2020-01-23,Vietnam,2,0,2,0,0,0
2020-01-24,Vietnam,2,0,0,0,0,0
2020-01-25,Vietnam,2,0,0,0,0,0
2020-01-26,Vietnam,2,0,0,0,0,0
2020-01-27,Vietnam,2,0,0,0,0,0
2020-01-28,Vietnam,2,0,0,0,0,0
2020-01-29,Vietnam,2,0,0,0,0,0
2020-01-30,Vietnam,2,0,0,0,0,0
2020-01-31,Vietnam,2,0,0,0,0,0
2020-02-01,Vietnam,6,0,4,0,1,0
2020-02-02,Vietnam,6,0,0,0,1,0
2020-02-03,Vietnam,8,0,2,0,1,0
2020-02-04,Vietnam,8,0,0,0,1,0
2020-02-05,Vietnam,8,0,0,0,1,0
2020-02-06,Vietnam,10,0,2,0,1,0
2020-02-07,Vietnam,10,0,0,0,1,0
2020-02-08,Vietnam,13,0,3,0,1,0
2020-02-09,Vietnam,13,0,0,0,1,0
2020-02-10,Vietnam,14,0,1,0,1,0
2020-02-11,Vietnam,15,0,1,0,1,0
2020-02-12,Vietnam,15,0,0,0,1,0
2020-02-13,Vietnam,16,0,1,0,1,0
2020-02-14,Vietnam,16,0,0,0,1,0
2020-02-15,Vietnam,16,0,0,0,0,0
2020-02-16,Vietnam,16,0,0,0,0,0
2020-02-17,Vietnam,16,0,0,0,0,0
2020-02-18,Vietnam,16,0,0,0,0,0
2020-02-19,Vietnam,16,0,0,0,0,0
2020-02-20,Vietnam,16,0,0,0,0,0
2020-02-21,Vietnam,16,0,0,0,0,0
2020-02-22,Vietnam,16,0,0,0,0,0
2020-02-23,Vietnam,16,0,0,0,0,0
2020-02-24,Vietnam,16,0,0,0,0,0
2020-02-25,Vietnam,16,0,0,0,0,0
2020-02-26,Vietnam,16,0,0,0,0,0
2020-02-27,Vietnam,16,0,0,0,0,0
2020-02-28,Vietnam,16,0,0,0,0,0
2020-02-29,Vietnam,16,0,0,0,0,0
2020-03-01,Vietnam,16,0,0,0,0,0
2020-03-02,Vietnam,16,0,0,0,0,0
2020-03-03,Vietnam,16,0,0,0,0,0
2020-03-04,Vietnam,16,0,0,0,0,0
2020-03-05,Vietnam,16,0,0,0,0,0
2020-03-06,Vietnam,16,0,0,0,0,0
2020-03-07,Vietnam,18,0,2,0,0,0
2020-03-08,Vietnam,30,0,12,0,2,0
2020-03-09,Vietnam,30,0,0,0,2,0
2020-03-10,Vietnam,31,0,1,0,2,0
2020-03-11,Vietnam,38,0,7,0,3,0
2020-03-12,Vietnam,39,0,1,0,3,0
2020-03-13,Vietnam,47,0,8,0,4,0
2020-03-14,Vietnam,53,0,6,0,5,0
2020-03-15,Vietnam,56,0,3,0,4,0
2020-03-16,Vietnam,61,0,5,0,4,0
2020-03-17,Vietnam,66,0,5,0,5,0
2020-03-18,Vietnam,75,0,9,0,5,0
2020-03-19,Vietnam,85,0,10,0,7,0
2020-03-20,Vietnam,91,0,6,0,6,0
2020-03-21,Vietnam,94,0,3,0,6,0
2020-03-22,Vietnam,113,0,19,0,8,0
2020-03-23,Vietnam,123,0,10,0,9,0
2020-03-24,Vietnam,134,0,11,0,10,0
2020-03-25,Vietnam,141,0,7,0,9,0
2020-03-26,Vietnam,153,0,12,0,10,0
2020-03-27,Vietnam,163,0,10,0,10,0
2020-03-28,Vietnam,174,0,11,0,11,0
2020-03-29,Vietnam,188,0,14,0,11,0
2020-03-30,Vietnam,203,0,15,0,11,0
2020-03-31,Vietnam,212,0,9,0,11,0
2020-04-01,Vietnam,218,0,6,0,11,0
2020-04-02,Vietnam,233,0,15,0,11,0
2020-04-03,Vietnam,237,0,4,0,11,0
2020-04-04,Vietnam,240,0,3,0,9,0
2020-04-05,Vietnam,241,0,1,0,8,0
2020-04-06,Vietnam,245,0,4,0,6,0
2020-04-07,Vietnam,249,0,4,0,5,0
2020-04-08,Vietnam,251,0,2,0,5,0
2020-04-09,Vietnam,255,0,4,0,3,0
2020-04-10,Vietnam,257,0,2,0,3,0
2020-04-11,Vietnam,258,0,1,0,3,0
2020-04-12,Vietnam,262,0,4,0,3,0
2020-04-13,Vietnam,265,0,3,0,3,0
2020-04-14,Vietnam,266,0,1,0,2,0
2020-04-15,Vietnam,267,0,1,0,2,0
2020-04-16,Vietnam,268,0,1,0,2,0
2020-04-17,Vietnam,268,0,0,0,2,0
2020-04-18,Vietnam,268,0,0,0,1,0
2020-04-19,Vietnam,268,0,0,0,1,0
2020-04-20,Vietnam,268,0,0,0,0,0
2020-04-21,Vietnam,268,0,0,0,0,0
2020-04-22,Vietnam,268,0,0,0,0,0
2020-04-23,Vietnam,268,0,0,0,0,0
2020-04-24,Vietnam,270,0,2,0,0,0
2020-04-25,Vietnam,270,0,0,0,0,0
2020-04-26,Vietnam,270,0,0,0,0,0
2020-04-27,Vietnam,270,0,0,0,0,0
2020-04-28,Vietnam,270,0,0,0,0,0
2020-04-29,Vietnam,270,0,0,0,0,0
2020-04-30,Vietnam,270,0,0,0,0,0
2020-05-01,Vietnam,270,0,0,0,0,0
2020-05-02,Vietnam,270,0,0,0,0,0
2020-05-03,Vietnam,271,0,1,0,0,0
2020-05-04,Vietnam,271,0,0,0,0,0
2020-05-05,Vietnam,271,0,0,0,0,0
2020-05-06,Vietnam,271,0,0,0,0,0
2020-05-07,Vietnam,288,0,17,0,3,0
2020-05-08,Vietnam,288,0,0,0,3,0
2020-05-09,Vietnam,288,0,0,0,3,0
2020-05-10,Vietnam,288,0,0,0,2,0
2020-05-11,Vietnam,288,0,0,0,2,0
2020-05-12,Vietnam,288,0,0,0,2,0
2020-05-13,Vietnam,288,0,0,0,2,0
2020-05-14,Vietnam,312,0,24,0,3,0
2020-05-15,Vietnam,314,0,2,0,4,0
2020-05-16,Vietnam,318,0,4,0,4,0
2020-05-17,Vietnam,320,0,2,0,5,0
2020-05-18,Vietnam,324,0,4,0,5,0
2020-05-19,Vietnam,324,0,0,0,5,0
2020-05-20,Vietnam,324,0,0,0,5,0
2020-05-21,Vietnam,324,0,0,0,2,0
2020-05-22,Vietnam,324,0,0,0,1,0
2020-05-23,Vietnam,325,0,1,0,1,0
2020-05-24,Vietnam,325,0,0,0,1,0
2020-05-25,Vietnam,326,0,1,0,0,0
2020-05-26,Vietnam,327,0,1,0,0,0
2020-05-27,Vietnam,327,0,0,0,0,0
2020-05-28,Vietnam,327,0,0,0,0,0
2020-05-29,Vietnam,328,0,1,0,1,0
2020-05-30,Vietnam,328,0,0,0,0,0
2020-05-31,Vietnam,328,0,0,0,0,0
2020-06-01,Vietnam,328,0,0,0,0,0
2020-06-02,Vietnam,328,0,0,0,0,0
2020-06-03,Vietnam,328,0,0,0,0,0
2020-06-04,Vietnam,328,0,0,0,0,0
2020-06-05,Vietnam,328,0,0,0,0,0
2020-06-06,Vietnam,329,0,1,0,0,0
2020-06-07,Vietnam,331,0,2,0,0,0
2020-06-08,Vietnam,332,0,1,0,1,0
2020-06-09,Vietnam,332,0,0,0,1,0
2020-06-10,Vietnam,332,0,0,0,1,0
2020-06-11,Vietnam,332,0,0,0,1,0
2020-06-12,Vietnam,333,0,1,0,1,0
2020-06-13,Vietnam,334,0,1,0,1,0
2020-06-14,Vietnam,334,0,0,0,0,0
2020-06-15,Vietnam,334,0,0,0,0,0
2020-06-16,Vietnam,334,0,0,0,0,0
2020-06-17,Vietnam,335,0,1,0,0,0
2020-06-18,Vietnam,342,0,7,0,1,0
2020-06-19,Vietnam,349,0,7,0,2,0
2020-06-20,Vietnam,349,0,0,0,2,0
2020-06-21,Vietnam,349,0,0,0,2,0
2020-06-22,Vietnam,349,0,0,0,2,0
2020-06-23,Vietnam,349,0,0,0,2,0
2020-06-24,Vietnam,352,0,3,0,2,0
2020-06-25,Vietnam,352,0,0,0,1,0
2020-06-26,Vietnam,353,0,1,0,1,0
2020-06-27,Vietnam,355,0,2,0,1,0
2020-06-28,Vietnam,355,0,0,0,1,0
2020-06-29,Vietnam,355,0,0,0,1,0
2020-06-30,Vietnam,355,0,0,0,1,0
