Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,2.0,0
2020-02-01,0.0,0
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,0
2020-02-06,0.0,0
2020-02-07,1.0,0
2020-02-08,0.0,0
2020-02-09,0.0,0
2020-02-10,0.0,0
2020-02-11,0.0,0
2020-02-12,0.0,0
2020-02-13,0.0,0
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,0.0,0
2020-02-20,0.0,0
2020-02-21,17.0,2
2020-02-22,42.0,8
2020-02-23,93.0,22
2020-02-24,74.0,32
2020-02-25,93.0,46
2020-02-26,131.0,64
2020-02-27,202.0,93
2020-02-28,233.0,124
2020-02-29,240.0,152
2020-03-01,566.0,220
2020-03-02,342.0,258
2020-03-03,466.0,311
2020-03-04,587.0,377
2020-03-05,769.0,458
2020-03-06,778.0,535
2020-03-07,1247.0,679
2020-03-08,1492.0,812
2020-03-09,1797.0,1019
2020-03-10,977.0,1092
2020-03-11,2313.0,1339
2020-03-12,2651.0,1608
2020-03-13,2547.0,1861
2020-03-14,3497.0,2182
2020-03-15,3590.0,2482
2020-03-16,3233.0,2687
2020-03-17,3526.0,3051
2020-03-18,4207.0,3322
2020-03-19,5322.0,3703
2020-03-20,5986.0,4194
2020-03-21,6557.0,4632
2020-03-22,5560.0,4913
2020-03-23,4789.0,5135
2020-03-24,5249.0,5381
2020-03-25,5210.0,5525
2020-03-26,6203.0,5651
2020-03-27,5909.0,5640
2020-03-28,5974.0,5556
2020-03-29,5217.0,5507
2020-03-30,4050.0,5402
2020-03-31,4053.0,5231
2020-04-01,4782.0,5170
2020-04-02,4668.0,4950
2020-04-03,4585.0,4761
2020-04-04,4805.0,4594
2020-04-05,4316.0,4466
2020-04-06,3599.0,4401
2020-04-07,3039.0,4256
2020-04-08,3836.0,4121
2020-04-09,4204.0,4055
2020-04-10,3951.0,3964
2020-04-11,4694.0,3948
2020-04-12,4092.0,3916
2020-04-13,3153.0,3853
2020-04-14,2972.0,3843
2020-04-15,2667.0,3676
2020-04-16,3786.0,3616
2020-04-17,3493.0,3551
2020-04-18,3491.0,3379
2020-04-19,3047.0,3230
2020-04-20,2256.0,3102
2020-04-21,2729.0,3067
2020-04-22,3370.0,3167
2020-04-23,2646.0,3005
2020-04-24,3021.0,2937
2020-04-25,2357.0,2775
2020-04-26,2324.0,2672
2020-04-27,1739.0,2598
2020-04-28,2091.0,2507
2020-04-29,2086.0,2323
2020-04-30,1872.0,2213
2020-05-01,1965.0,2062
2020-05-02,1900.0,1997
2020-05-03,1389.0,1863
2020-05-04,1221.0,1789
2020-05-05,1075.0,1644
2020-05-06,1444.0,1552
2020-05-07,1401.0,1485
2020-05-08,1327.0,1394
2020-05-09,1083.0,1277
2020-05-10,802.0,1193
2020-05-11,744.0,1125
2020-05-12,1402.0,1172
2020-05-13,888.0,1092
2020-05-14,992.0,1034
2020-05-15,789.0,957
2020-05-16,875.0,927
2020-05-17,675.0,909
2020-05-18,451.0,867
2020-05-19,813.0,783
2020-05-20,665.0,751
