Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,2.0,0
2020-02-01,0.0,0
2020-02-02,0.0,0
2020-02-03,6.0,1
2020-02-04,0.0,1
2020-02-05,1.0,1
2020-02-06,0.0,1
2020-02-07,0.0,1
2020-02-08,4.0,2
2020-02-09,1.0,2
2020-02-10,0.0,1
2020-02-11,1.0,1
2020-02-12,1.0,1
2020-02-13,1.0,1
2020-02-14,1.0,1
2020-02-15,0.0,1
2020-02-16,0.0,1
2020-02-17,1.0,1
2020-02-18,0.0,1
2020-02-19,1.0,1
2020-02-20,2.0,1
2020-02-21,1.0,1
2020-02-22,0.0,1
2020-02-23,5.0,1
2020-02-24,2.0,2
2020-02-25,4.0,2
2020-02-26,3.0,2
2020-02-27,7.0,3
2020-02-28,12.0,5
2020-02-29,5.0,5
2020-03-01,33.0,9
2020-03-02,40.0,15
2020-03-03,55.0,22
2020-03-04,57.0,30
2020-03-05,49.0,36
2020-03-06,79.0,45
2020-03-07,55.0,53
2020-03-08,54.0,56
2020-03-09,147.0,71
2020-03-10,258.0,100
2020-03-11,411.0,150
2020-03-12,489.0,213
2020-03-13,480.0,271
2020-03-14,364.0,315
2020-03-15,442.0,370
2020-03-16,612.0,437
2020-03-17,770.0,510
2020-03-18,1006.0,595
2020-03-19,1061.0,676
2020-03-20,1255.0,787
2020-03-21,1197.0,906
2020-03-22,1423.0,1046
2020-03-23,2349.0,1294
2020-03-24,2392.0,1526
2020-03-25,2708.0,1769
2020-03-26,3111.0,2062
2020-03-27,3245.0,2346
2020-03-28,2852.0,2583
2020-03-29,2894.0,2793
2020-03-30,4302.0,3072
2020-03-31,4537.0,3378
2020-04-01,4967.0,3701
2020-04-02,4939.0,3962
2020-04-03,4951.0,4206
2020-04-04,4094.0,4383
2020-04-05,3620.0,4487
2020-04-06,5356.0,4638
2020-04-07,5484.0,4773
2020-04-08,5170.0,4802
2020-04-09,4912.0,4798
2020-04-10,4339.0,4711
2020-04-11,3628.0,4644
2020-04-12,3536.0,4632
2020-04-13,4209.0,4468
2020-04-14,4359.0,4308
2020-04-15,5102.0,4298
2020-04-16,5338.0,4359
2020-04-17,4985.0,4451
2020-04-18,4731.0,4609
2020-04-19,3867.0,4656
2020-04-20,4877.0,4751
2020-04-21,4771.0,4810
2020-04-22,5506.0,4868
2020-04-23,5153.0,4841
2020-04-24,4980.0,4841
2020-04-25,3783.0,4705
2020-04-26,3475.0,4649
2020-04-27,4707.0,4625
2020-04-28,4724.0,4618
2020-04-29,5445.0,4610
2020-04-30,4969.0,4583
2020-05-01,4735.0,4548
2020-05-02,3226.0,4469
2020-05-03,2976.0,4397
2020-05-04,3384.0,4208
2020-05-05,3689.0,4061
2020-05-06,3837.0,3831
2020-05-07,3771.0,3660
2020-05-08,3052.0,3419
2020-05-09,2150.0,3266
2020-05-10,2322.0,3172
2020-05-11,3588.0,3201
2020-05-12,3397.0,3160
2020-05-13,3299.0,3083
2020-05-14,2618.0,2918
2020-05-15,2521.0,2842
2020-05-16,2067.0,2830
2020-05-17,1826.0,2759
2020-05-18,2576.0,2615
2020-05-19,3063.0,2567
2020-05-20,2710.0,2483
2020-05-21,2554.0,2474
