Date,daily_cases,daily_cases_7d_avg
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,0.0,0
2020-02-01,0.0,0
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,0
2020-02-06,0.0,0
2020-02-07,0.0,0
2020-02-08,0.0,0
2020-02-09,0.0,0
2020-02-10,0.0,0
2020-02-11,0.0,0
2020-02-12,0.0,0
2020-02-13,0.0,0
2020-02-14,0.0,0
2020-02-15,0.0,0
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,0.0,0
2020-02-19,2.0,0
2020-02-20,3.0,1
2020-02-21,13.0,3
2020-02-22,10.0,4
2020-02-23,15.0,6
2020-02-24,18.0,9
2020-02-25,34.0,14
2020-02-26,44.0,20
2020-02-27,106.0,34
2020-02-28,143.0,53
2020-02-29,205.0,81
2020-03-01,385.0,134
2020-03-02,523.0,206
2020-03-03,835.0,320
2020-03-04,586.0,398
2020-03-05,591.0,467
2020-03-06,1234.0,623
2020-03-07,1076.0,747
2020-03-08,743.0,798
2020-03-09,595.0,809
2020-03-10,881.0,815
2020-03-11,958.0,868
2020-03-12,1075.0,937
2020-03-13,1289.0,945
2020-03-14,1365.0,987
2020-03-15,1209.0,1053
2020-03-16,1053.0,1119
2020-03-17,1178.0,1161
2020-03-18,1192.0,1194
2020-03-19,1046.0,1190
2020-03-20,1237.0,1183
2020-03-21,966.0,1126
2020-03-22,1028.0,1100
2020-03-23,1411.0,1151
2020-03-24,1762.0,1235
2020-03-25,2206.0,1379
2020-03-26,2389.0,1571
2020-03-27,2926.0,1813
2020-03-28,3076.0,2114
2020-03-29,2901.0,2382
2020-03-30,3186.0,2635
2020-03-31,3110.0,2828
2020-04-01,2988.0,2939
2020-04-02,2875.0,3009
2020-04-03,2715.0,2979
2020-04-04,2560.0,2905
2020-04-05,2483.0,2845
2020-04-06,2274.0,2715
2020-04-07,2089.0,2569
2020-04-08,1997.0,2428
2020-04-09,1634.0,2250
2020-04-10,1972.0,2144
2020-04-11,1837.0,2041
2020-04-12,1657.0,1923
2020-04-13,1617.0,1829
2020-04-14,1574.0,1755
2020-04-15,1512.0,1686
2020-04-16,1606.0,1682
2020-04-17,1499.0,1615
2020-04-18,1374.0,1548
2020-04-19,1343.0,1504
2020-04-20,1294.0,1457
2020-04-21,1297.0,1418
2020-04-22,1194.0,1372
2020-04-23,1030.0,1290
2020-04-24,1168.0,1243
2020-04-25,1134.0,1209
2020-04-26,1153.0,1181
2020-04-27,991.0,1138
2020-04-28,1112.0,1112
2020-04-29,1073.0,1094
2020-04-30,983.0,1088
2020-05-01,1006.0,1065
2020-05-02,802.0,1017
2020-05-03,976.0,992
2020-05-04,1223.0,1025
2020-05-05,1323.0,1055
2020-05-06,1680.0,1142
2020-05-07,1485.0,1214
2020-05-08,1556.0,1292
2020-05-09,1529.0,1396
2020-05-10,1383.0,1454
2020-05-11,1683.0,1520
2020-05-12,1481.0,1542
2020-05-13,1958.0,1582
2020-05-14,1808.0,1628
2020-05-15,2102.0,1706
2020-05-16,1757.0,1739
2020-05-17,1806.0,1799
2020-05-18,2294.0,1887
2020-05-19,2111.0,1977
2020-05-20,2346.0,2032
